4, 21.533203125
5, 26.91650390625
6, 32.2998046875
7, 37.68310546875
8, 43.06640625
9, 48.44970703125
10, 53.8330078125
11, 59.21630859375
13, 69.98291015625
15, 80.74951171875
17, 91.51611328125
19, 102.28271484375
21, 113.04931640625
24, 129.19921875
27, 145.34912109375
30, 161.4990234375
33, 177.64892578125
37, 199.18212890625
41, 220.71533203125
46, 247.6318359375
51, 274.54833984375
57, 306.84814453125
63, 339.14794921875
70, 376.8310546875
77, 414.51416015625
85, 457.58056640625
94, 506.0302734375
104, 559.86328125
115, 619.07958984375
127, 683.67919921875
140, 753.662109375
154, 829.0283203125
170, 915.1611328125
188, 1012.060546875
207, 1114.34326171875
228, 1227.392578125
251, 1351.20849609375
277, 1491.17431640625
305, 1641.90673828125
336, 1808.7890625
370, 1991.8212890625
408, 2196.38671875
449, 2417.10205078125
494, 2659.3505859375
544, 2928.515625
599, 3224.59716796875
659, 3547.59521484375
725, 3902.89306640625
798, 4295.8740234375
878, 4726.5380859375
966, 5200.2685546875
1063, 5722.44873046875
1170, 6298.4619140625
1287, 6928.30810546875
1416, 7622.75390625
1558, 8387.1826171875
1714, 9226.9775390625
1886, 10152.9052734375
2075, 11170.34912109375
2283, 12290.07568359375
2512, 13522.8515625
2764, 14879.443359375
3041, 16370.61767578125
3346, 18012.5244140625
3681, 19815.93017578125
4050, 21802.3681640625
